  653.200  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  672.352  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  673.360  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  683.440  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  684.448  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  798.352  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  799.360  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  801.376  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  802.384  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  805.408  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  806.416  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  845.728  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  846.736  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  878.992  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  880.000  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  882.016  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  883.024  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  900.160  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  901.168  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  930.400  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  931.408  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  942.496  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  943.504  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  949.552  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  950.560  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  960.640  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  961.648  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  968.704  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  969.712  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  972.736  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  973.744  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  977.776  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  978.784  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  996.928  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  997.936  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1029.184  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1030.192  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1043.296  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1044.304  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1049.344  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1050.352  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1081.600  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1082.608  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1096.720  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1097.728  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1100.752  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1101.760  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1105.792  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1106.800  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1110.832  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1111.840  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1115.872  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1116.880  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1123.936  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1124.944  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1128.976  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1129.984  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1133.008  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1134.016  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1144.096  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1145.104  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1148.128  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1149.136  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
 1162.240  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
 1163.248  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
